"Kementerian BUMN sedang mengkaji pengurangan jumlah perusahaan pelat merah menjadi 100. Saat ini perusahaan pelat merah berjumlah 142. Wakil Menteri Badan Usaha Milik Negara (BUMN) II Kartika Wirjoatmodjo mengatakan, pihaknya akan berkonsultasi dengan Komisi VI DPR RI terlebih dahulu. Pria yang akrab disapa Tiko itu mengatakan, tanggal 20 Februari mendatang pihaknya akan menyambangi Komisi VI DPR RI untuk berdiskusi terkait pengurangan jumlah BUMN.",ekonomi
"(Angkanya) belum pasti. Kita akan coba lihat, itu kan analogi saja, analogi saja, kita coba turunkan lah jumlahnya. Tapi macam-macam (caranya). Mungkin ada yang bisa ditaruh di PPA (PT Perusahaan Pengelola Aset). Kan PPA juga efektif sebagai agen untuk restrukturisasi. Misalnya nanti kita harus gabungkan dan sebagainya, jelas Tiko dalam acara Mandiri Investment Forum di Hotel Fairmont, Jakarta, Rabu (5/2/2020).",ekonomi
"Komisaris Utama Pertamina Basuki Tjahaja Purnama (BTP) alias Ahok lagi-lagi buat gebrakan baru yang menggegerkan publik. Melalui akun resmi Twitternya @basuki_btp mengumumkan gebrakan transparansi Pertamina. Dengan begitu, mulai sekarang masyarakat bisa ikut memantau langsung data impor bahan bakar minyak (BBM) PT Pertamina (Persero). Masyarakat bisa memantau data itu melalui laman resmi perseroan di www.pertamina.com.",ekonomi
"Aplikasi penjualan game, Epic Games menggratiskan Assasins Creed Syndicate untuk didownload. Kegiatan ini dilakukan sebagai bagian dari program rotasi game gratis. Dikutip dari akun Twitter Epic Games, Assasins Creed Syndicate boleh didownload secara free alias gratis sejak 20 hingga 27 Februari 2020. Selain itu, ada juga game Faeria yang juga digratiskan.Epic Games didirikan pada tahun 1991. Perusahaan yang bergerak di bidang penjualan permainan online ini memiliki kantor pusat di Cary, California Utara",teknologi
"Dikutip detikINET dari Ars Technica, Oracle punya lebih dari 130 ribu karyawan sehingga angka 300 orang terhitung amat sedikit. Rupanya sebagian karyawan memilih main aman karena takut perusahaan akan mengenakan sanksi. Dengan mendukung Trump, Oracle sepertinya bakal mendapat beberapa keuntungan. Misalnya dalam kasus gugatan hak cipta melawan Google, pemerintahan Trump sudah terindikasi mendukung posisi Oracle.",teknologi
"Dengan ketersediaannya infrastruktur digital yang berkualitas dan handal tersebut, diharapkan dapat mengembangkan potensi ekonomi lokal, regional, dan nasional guna mendukung pembangunan ekonomi digital Indonesia. Hingga saat ini, telah terealisasi 215 Modern Broadband City dan 8 Modern Province. tersebut, diharapkan dapat menjawab kebutuhan masyarakat terhadap layanan broadband berkualitas, sehingga masyarakat dapat menikmati layanan digital yang jauh lebih baik,"" ungkap Zulhelfi dalam dikutip dari siaran persnya, Jumat (21/2/2020).",teknologi
"Chevrolet Captiva sendiri merupakan kembaran dari Wuling Almaz. Keduanya lahir dari rahim yang sama, pabrik Wuling Motors di Cikarang. Wuling memang mengekspor SUV tersebut dengan logo Chevrolet Captiva ke beberapa negara. Pasca-pengumuman Chevrolet cabut dari Thailand, bagaimana nasib Captiva yang diekspor Wuling Motors Indonesia? ""Untuk permintaan ekspor tentunya mengikuti dengan kebutuhan dari masing-masing negara. Kami masih menunggu informasi dari sana untuk rencana ke depannya,"" jawab Media Relation Wuling Motors Indonesia, Brian Gomgom, kepada detikcom.",otomotif
"Yamaha Nmax 155 dan Honda PCX 150 bersaing ketat di segmen skutik premium 150 cc. Dua model itu digemari banyak konsumen motor Indonesia. Baik Nmax maupun PCX sama-sama sudah dirakit secara lokal di Indonesia, sehingga harga kedua skutik itu lebih terjangkau.Nmax facelift generasi kedua ditawarkan dalam dua varian, standar dan ABS. Versi standar dibanderol Rp 28.295.000 sedang versi ABS Rp 32.015.000. Sementara model PCX juga ada dua varian, versi CBS dengan harga Rp 29.509.000, dan versi ABS Rp 32.511.000.",otomotif
"Honda Jazz hadir sebagai model global, untuk Honda City hatchback kabarnya hanya akan dijual di beberapa area regional saja, seperti di Amerika Latin dan Asean. Soal spesifikasi mesin, Honda City hatchback disebut akan menggunakan dapur pacu berkapasitas 1.0 liter VTEC Turbo, tiga silinder, yang bisa mengeluarkan daya maksimum 122 ps pada 5.500 rpm dan torsi 173 Nm pada 2.000 - 4.500 rpm. Mesin ini identik dengan yang digunakan pada Honda City 2020 versi Thailand.",otomotif
"Timnas Indonesia menyisakan laga kandang di kualifikasi Piala Dunia 2022, menjamu Uni Emirat Arab (UEA). Laga Indonesia Vs UEA itu akan digelar di Bali. Duel Indonesia vs UEA merupakan matchday ketujuh Grup G kualifikasi Piala Dunia 2022. PSSI sudah memilih Stadion I Wayan Dipta, Bali, sebagai stadion kandang Skuat Garuda untuk laga tanggal 31 Maret itu. Baca juga: Shin Tae-yong Resmi Rilis Nama 34 Pemain untuk TC Timnas Ketua Umum PSSI Mochamad Iriawan juga menegaskan laga ini bakal dimainkan tanpa penonton, sebagai buntut dari hukuman FIFA atas ulah suporter Indonesia saat melawan Malaysia.",sport
"Ole Gunnar Solskjaer melempar pujian untuk Anthony Martial. Manajer Manchester United itu meyakini Martial bisa menembus 20 gol musim ini. Bisakah? Martial mencetak gol kala MU imbang 1-1 di markas Club Brugge di leg pertama babak 32 besar Liga Europa. Dengan tambahan satu gol itu, Martial kini sudah mengemas 14 gol di semua kompetisi. Angka itu mendekati catatan terbaik Martial selama memperkuat MU. Musim 2015/2016 jadi musim paling produktif bagi Martial selama di MU dengan total 18 gol.",sport
"Bermain di Italia yang terkenal taktis dan begitu dinamis secara strategi, Smalling belajar banyak hal baru. Dimensi permainannya pun semakin luas. ""Saya merasa belajar banyak dalam gaya sepakbola Italia dan taktik, serta bagaimana mengontrol jalannya laga. Saya pastinya menambah sesuatu ke permainan saya, saya merasa tengah belajar dan berkembang,"" ujarnya dikutip BBC. Berbekal ilmu barunya dari Italia, Smalling berharap bisa merebut satu posisi di lini belakang tim nasional Inggris untuk Piala Eropa 2020. Ia sudah tak masuk skuat Gareth Southgate sejak 2017 silam.",sport
Petualangan Ncess dan para jagoan makan semakin seru. Kali ini mereka punya rekomendasi makan sop enak dan mie kari rendang yang nendang banget! Jelang akhir pekan waktunya jalan-jalan dan kulineran seru bareng keluarga atau teman-teman. Kali ini Ncess Nabati dan tim 'Bikin Laper' punya banyak rekomendasi tempat makan yang enak dan beragam. Kira-kira apa saja ya rekomendasinya?,kuliner
"Kue pancong memiliki versi tradisional dan kekinian. Untuk yang kekinian diberi ragam topping premium, mulai dari keju, green tea, Oreo. Yuk, coba! Kue pancong merupakan jajanan tradisional khas Betawi (Jakarta). Untuk versi tradisional, kue pancong dibuat dari adonan tepung terigu dengan tambahan parutan kelapa. Teksturnya lembut dan rasanya gurih. Biasanya kue pancong tradisional disantap bersama taburan gula pasir. Kue serupa pun terdapat di beberapa daerah Indonesia, seperti kue bandros yang ada di Bandung. Kue pancong ini juga mirip dengan sajian kue pukis karena bentuknya.",kuliner
"Es serut tidak hanya ada di Indonesia, tapi juga di negara Asia lain. Korea, misalnya, punya pat bing soo. Bagaimana dengan es serut Asia lainnya? Es serut dengan cita rasa segar dan manis sangat nikmat disantap di siang hari yang panas. Sudah pasti es serut mampu membilas dahaga sekaligus menyegarkan. Tak hanya dengan sirup atau susu kental manis, es serut juga banyak dilengkapi dengan topping lainnya. Yang biasa digunakan antara lain buah-buahan segar, jeli, cokelat, kacang, dan lainnya.",kuliner
